City,before,during,reason,,access,hour work,hour park,desired,importance,why,gender,ethnicity,age,education,employment,marriage,income ,difference,trend
"Campinas, São Paulo",1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking);Reduce stress and anxiety,,0,8,1,1,4,For me it's important spend time in the nature to keep fit and healthy.,Male,0,30,2,Employed full-time(40+ hours a week),Single,2,-1,0
Los Angeles,1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking);Feel more relaxed and calm;Just getting outside;Connecting to nature,,0,8,0.5,1,4,Spending time in nature makes me mentally and physically healthy,Male,0,30,2,Employed full-time(40+ hours a week),Single,3,-1,1
memphis.tn,1-2 times/week,1-2 times/month,"Exercise (e.g. running and hiking), Time with family",,0,2,2,2,5,to have a good time,male,0,25,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Vancouver, BC",1-2 times/yr,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Time with family;Socializing,,0,25,2,5,4,Because you need to get a sufficient amount of sun to be healthy as well as e0ugh excercise. It is also very good for your mental health ,Female ,0,19,1,Unemployed (currently looking for work),Single,2,1,1
"MIAMI , FLORIDA",3-6 times/week,1-2 times/month,"Contemplative space, Socializing, Feel more relaxed and calm",SIGHTING GIRLS,0,8,1,1,4,IT IS IMPORTANT SPEND TIME WITH NATURE  IT MAKES  LIFE POSITIVITY,MALE,0,29,2,Employed full-time(40+ hours a week),Single,4,-2,1
Silver Spring,3-6 times/week,1-2 times/month,Feel more relaxed and calm;Connecting to nature;Reduce stress and anxiety,,0,8,1,3,4,It gives me lots of stress relief in work and also connecting to nature gives lots of positive energy to me.,Female,0,34,2,Employed full-time(40+ hours a week),Married,2,-2,1
"Charlotte, 0rth Carolina",3-6 times/week,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Feel more relaxed and calm,,0,6,1,2,5,Because it is relaxing and it is part of our life,Male,0,30,2,Employed full-time(40+ hours a week),Single,2,-2,1
"ERODE,TAMILNADU.",3-6 times/week,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Time with family;Connecting to nature,NA,0,7,2,2,5,Connected to nature is more effective for my healthy life.,MALE,0,29,3,Self-employed,Married,2,-2,1
ca,1-2 times/week,1-2 times/week,Exercise (e.g. running and hiking);Time with family,,0,5,2,3,4,important,male,0,32,3,Employed full-time(40+ hours a week),Married,2,0,1
NEWARK,3-6 times/week,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking);Feel more relaxed and calm;Connecting to nature,,0,4,1,1,5,"It's a way to calm and relax your mind after a long day. As we reconnect with nature, we remember the wonderful works of God during creation. ",male,0,30,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Modesto, CA",1-2 times/yr,1-2 times/yr,Time with family;Socializing;Connecting to nature,,0,0,1,2,4,"Good to get outdoors for fresh air and experience nature.  Good for change of scenery, to recharge oneself.",female,0,63,2,Unemployed (0t currently looking for work),Married,4,0,1
"Louisville, KY & Wellington FL",3-6 times/week,3-6 times/week,Dog Walking;Exercise (e.g. running and hiking);Just getting outside,,0,6,1,1,3,it is nice to be outdoors and get away from being inside the house all the time,female,0,43,2,Employed full-time(40+ hours a week),Single,4,0,1
"Houston, Texas",3-6 times/week,3-6 times/week,Exercise (e.g. running and hiking);Feel more relaxed and calm;Just getting outside;Reduce stress and anxiety,,0,6,1,1,5,I think it is important to spend time in nature primarily to reduce stress and to simply get fresh air and sun.,Male,0,36,2,Self-employed,Single,2,0,1
INDAI,3-6 times/week,3-6 times/week,Dog Walking;Time with family;Feel more relaxed and calm,0 COMMENTS,0,5,2,1,3,ACCORDING TO INFECTIONS DISEASE CARLA WILLIAMS.WE AS A POPULATION NEED TO RECOGNIZE WE ARE STILL 0T AT A POINT .WHERE WE HAVE A WIDELY AVAIABLE .,MALE,0,40,2,Employed full-time(40+ hours a week),Married,3,0,1
brokklyn newyork,Daily,Daily,"Dog Walking, Exercise (e.g. running and hiking)",,0,3,3,3,5, nature fresh air is very important fear is un important,male,0,23,2,Employed full-time(40+ hours a week),Single,2,0,1
"Rio de Janeiro, Mesquita",1-2 times/month,Never,Contemplative space;Socializing;Feel more relaxed and calm;Just getting outside;Reduce stress and anxiety,,0,6,2,4,4,The fresh air and calm winds are something that helps to disconnect from daily stress. also nature is a great place to play games with friends in such an open space,Male,0,20,1,Student,Single,2,-2,1
"Toronto, Ontario",1-2 times/month,1-2 times/month,Exercise (e.g. running and hiking);Time with family;Just getting outside,,0,8,1,3,5,We need to get fresh air and be in nature. It's healthy and good for the body and soul.,Female,1,32,2,Employed full-time(40+ hours a week),In a domestic partnership,4,0,1
"Huntsville, Alabama",1-2 times/month,1-2 times/month,Exercise (e.g. running and hiking);Time with family;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,0,8,0.5,1,4,It's easier to exercise in nature--going to the gym seems more like work. Being outside is more relaxing.,female,1,42,3,Employed full-time(40+ hours a week),Married,4,0,1
"Fort Worth, Texas",1-2 times/week,1-2 times/month,Contemplative space;Time with family;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,0,8,0.5,2,5,It is important to help me relax because city life is so fast paced. It also forces me to put down my screen devices.,Male,1,35,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Mims, FL",1-2 times/week,1-2 times/month,Contemplative space;Socializing;Just getting outside;Connecting to nature,,0,4,1,3,5,"I think it is very relaxing to be with nature as there is getting to be less and less open spaces in my area. I like to go with friends just to walk, talk and destress.",female,1,55,1,Employed full-time(40+ hours a week),Divorced,3,-1,1
"Topeka, Kansas",1-2 times/week,1-2 times/week,Exercise (e.g. running and hiking);Just getting outside,,0,8,1,1,4,To have an appreciation for nature and its uniqueness even in the middle of a town or city. To destress from work and other pressures of life. ,female,1,49,2,Employed full-time(40+ hours a week),Single,3,0,1
"Providence, RI",3-6 times/week,1-2 times/week,"Exercise (e.g. running and hiking), Time with family, Feel more relaxed and calm, Connecting to nature",,0,8,2,3,5,because it is good and healthy for us to exercise. Basically it is one of the best things you can do for the mind.,Male,1,23,3,Employed full-time(40+ hours a week),Married,2,-1,1
"San Francisco, CA",Daily,1-2 times/week,"Exercise (e.g. running and hiking), Contemplative space",,0,4,3,4,5,It makes me feel happy,Male,1,28,3,Employed full-time(40+ hours a week),Married,3,-2,1
co,Daily,3-6 times/week,Exercise (e.g. running and hiking);Contemplative space,,0,5,2,2,4,it is important to protect nature,male,1,28,3,Employed full-time(40+ hours a week),Single,3,-1,1
"Birmingha, Alabama",1-2 times/month,Never,Exercise (e.g. running and hiking);Contemplative space;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,0,9,2,5,5,I find being in nature to be rejuvenating and so enjoyable. When the sun is shining and I am outside I instantly feel an improvement in my mental and physical health.,Female,1,64,2,Employed full-time(40+ hours a week),Divorced,3,-2,1
"Lorain and Elyria, Ohio",1-2 times/month,Never,"Dog Walking, Feel more relaxed and calm, Just getting outside, Connecting to nature, Reduce stress and anxiety",,0,8,0,1,5,I think it is important to get out in nature because it is relaxing and peaceful. I am looking forward to doing it more. ,male,1,37,1,Self-employed,Married,2,-2,1
"Enid , ok",Never,Never,Exercise (e.g. running and hiking),exercise is body health,1,3,2,1,4,i am workout and exercise is my body is very healthily,female,0,32,3,Employed full-time(40+ hours a week),Married,2,0,1
omaha,1-2 times/month,1-2 times/month,Socializing,0ne,1,6,2,2,4,because this the only thing to improve our health naturally,female,0,52,2,Employed full-time(40+ hours a week),Married,2,0,1
Miami,1-2 times/month,1-2 times/month,Exercise (e.g. running and hiking),,1,9,1,1,4,It's a great way to exercise. Helps to keep someones mental and physical health in shape. The body needs to get movement and the heart will appreciate it.,Male,0,33,2,Employed full-time(40+ hours a week),Single,3,0,1
"Exton, PA",1-2 times/month,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Time with family;Feel more relaxed and calm;Just getting outside,,1,10,3,3,5,"It is important for the vitamin D, for happiness, and simply to reset your mind when you may feel stressed or uneasy.",male,0,26,2,Employed full-time(40+ hours a week),Married,5,0,1
"SEATTLE, WASHINGTON",1-2 times/month,1-2 times/month,Connecting to nature;Reduce stress and anxiety,,1,9,1,3,5,BECAUSE I LIKE NATURE VERY MUCH. I WANT TO SPEND MORE TIME WITH IT.,FEMALE,0,24,3,Employed full-time(40+ hours a week),Married,3,0,1
"Burbank, California",1-2 times/week,1-2 times/month,Contemplative space;Time with family;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,4,6,1,5,I like to breathe fresh air. It helps to relax.,female,0,37,2,Unemployed (0t currently looking for work),Married,4,-1,1
"Seattle, WA",1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking);Contemplative space;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,9,0,2,5,To connect and feel spiritually connected to Mother Nature,female,0,29,2,Employed full-time(40+ hours a week),Married,4,-1,1
Aracatuba-SP,1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking);Time with family;Socializing;Reduce stress and anxiety,,1,9,0.5,1,4,I think it's important because we were disconnected from electronic devices for a while. A0ther important thing is the fact that we can exercise in parks enjoying cleaner air.,Male,0,32,2,Employed full-time(40+ hours a week),Married,2,-1,1
"Miami, FL",1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking);Feel more relaxed and calm,,1,8,2,2,4,quality of life,male,0,28,2,Employed part-time (less than 40 hours a week),Single,3,-1,1
"Baytown, Texas",1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking),,1,7,0.25,1,4,I think that getting in tune with nature has many neurological benefits. These benefits would be useful long term. ,Male,0,25,2,Employed full-time(40+ hours a week),Single,3,-1,1
"Sunnyvale, CA",1-2 times/week,1-2 times/month,"Time with family, Feel more relaxed and calm, Reduce stress and anxiety",,1,7,1,2,4,Contact with the nature is very important for us. Because my parents and my daughter feel more relaxed when the go there. ,Male,0,48,3,Employed full-time(40+ hours a week),Married,2,-1,1
"Virginia Beach, Virginia",1-2 times/week,1-2 times/month,Exercise (e.g. running and hiking);Time with family;Just getting outside,,1,8,0.25,1,5,Fresh air is good for you and it is calming and helps with mood,female,0,61,3,Employed full-time(40+ hours a week),Single,3,-1,1
sunnyvale ca,1-2 times/week,1-2 times/month,Time with family;Feel more relaxed and calm;Just getting outside;Connecting to nature,,1,8,1,1,5,change mind and get fresh air.,Female,0,41,3,Employed full-time(40+ hours a week),Married,5,-1,1
"Los Angeles, California",1-2 times/yr,1-2 times/month,Dog Walking;Exercise (e.g. running and hiking);Socializing;Feel more relaxed and calm;Just getting outside;Connecting to nature,,1,10,0.5,0.5,5,Staying inside too much can cause cabin fever.,Female,0,22,3,Employed full-time(40+ hours a week),Single,4,1,1
"Athens, Tennessee",1-2 times/month,1-2 times/week,Exercise (e.g. running and hiking);Contemplative space;Feel more relaxed and calm;Just getting outside;Reduce stress and anxiety,,1,5,1,3,5,"It's important to spend time in nature as natural environment are the healthiest. Cities and urban areas tend to be loud and polluted, and spending time in nature is 0t just a good escape from that, but a reminder that there's always a quiet and place to escape to when urban living becomes too much. I believe that 0t just being in nature, but living close to it or even in it is a key to human happiness.",Male,0,30,1,Employed part-time (less than 40 hours a week),Single,3,1,1
"Bloomington, MN",1-2 times/month,1-2 times/week,Feel more relaxed and calm;Just getting outside;Reduce stress and anxiety,,1,8,1,1,4,"I think it helps you to feel less confined, especially when social distancing during COVID-19.",Female,0,29,1,Employed full-time(40+ hours a week),Single,3,1,1
"New York City, NY",1-2 times/week,1-2 times/week,Exercise (e.g. running and hiking);Time with family;Socializing,,1,8,1,1,4,It is important because we need fresh air.,Male,0,32,2,Employed full-time(40+ hours a week),Married,2,0,1
"Providence, Miami",1-2 times/week,1-2 times/week,Dog Walking;Contemplative space;Time with family;Just getting outside,,1,15,4,5,4,because it helps us stay active. Also is good for mental health. The atmosphere in nature really stands out alot ,male,0,23,2,Employed full-time(40+ hours a week),Single,3,0,1
"Pennsylvania, 1980",1-2 times/week,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking);Contemplative space,,1,20,20,20,3,For body building and meditations,Male,0,40,2,Employed full-time(40+ hours a week),Married,3,0,1
rio de janeiro,1-2 times/week,1-2 times/week,Exercise (e.g. running and hiking),,1,8,1,3,5,"relaxes my head and reduces my anxiety.
",male,0,24,2,Employed full-time(40+ hours a week),Married,3,0,1
"New York City, NY",1-2 times/week,1-2 times/week,Exercise (e.g. running and hiking);Contemplative space;Feel more relaxed and calm;Just getting outside;Reduce stress and anxiety,,1,5,1,2,5,"I think it's important to spend time in nature for a variety of reasons, including its ability to really help you clear your mind, be more productive, and think more clearly.",female,0,24,4,Employed full-time(40+ hours a week),Single,3,0,1
